generation,i,fitness,hash,mom_hash,dad_hash,values
13,9,714,6937084823262717327,-1397386828288131254,-2769163536234695266,0  0  1  1  1  1  1  1  1  0  0  1  1  0  1  1  1  0  0  1  1  1  0  1  1  0  1  0  0  0  1  0  1  1  1  1  1  1  0  1  1  1  1  0  1  0  0  1  0  0  0  1  0  0  1  1  0  1  0  1  1  0  1  1  1  1  1  1  1  1  0  1  1  1  0  1
13,10,714,-266094618823666358,8150200626926469045,6872384269876360400,0  0  0  1  1  1  0  1  1  0  1  1  0  0  0  1  0  1  0  1  1  0  1  0  1  0  1  1  1  0  1  1  1  0  1  1  1  1  0  1  1  0  1  1  1  0  0  0  0  1  0  1  0  1  0  1  0  1  0  1  1  1  0  1  1  1  1  1  1  1  0  1  1  1  1  1
13,11,713,201392349462746673,6980647191263901474,306642474871719695,0  1  1  0  1  0  1  0  0  0  0  0  1  0  1  1  1  0  1  1  1  0  1  0  1  1  1  1  0  0  1  1  1  1  1  0  1  1  0  1  1  0  0  1  1  0  1  1  0  1  0  0  0  1  1  1  1  1  0  1  0  0  0  1  0  1  1  1  1  1  1  0  1  1  1  1
13,12,711,-8964995962207994299,2392684349767229870,6251657337616148332,1  0  1  1  1  0  0  1  0  0  1  1  1  0  0  1  1  1  0  1  0  0  1  0  1  0  0  1  1  1  1  1  0  0  0  0  1  1  1  0  1  1  1  0  0  1  0  1  1  1  0  1  1  0  1  0  1  0  0  1  1  1  1  1  1  1  1  1  1  0  1  0  0  1  1  1
13,13,710,359798872965178591,-5528652987989128873,-7962568929731658709,0  1  1  0  0  1  1  1  1  0  1  1  0  0  0  0  0  1  0  1  1  0  0  1  1  0  1  1  1  1  0  1  1  1  1  0  1  1  0  1  1  0  0  1  1  0  1  1  0  1  0  0  0  1  1  1  1  0  1  0  1  1  0  1  0  0  1  1  1  1  1  0  1  1  0  1
13,14,710,-9038818813706629410,-4074620896886839847,6775719787377112453,0  1  1  1  0  0  1  1  0  1  1  1  1  0  1  1  0  1  1  0  1  0  1  0  0  0  1  1  0  1  0  1  0  1  0  0  0  1  0  1  1  0  0  0  1  1  1  1  1  0  1  1  0  1  1  1  1  1  0  1  1  1  1  0  0  0  1  1  0  1  1  1  0  1  1  1
13,15,706,-5804961584377363450,-2288014144517490541,4799643619086988156,0  1  1  0  1  1  1  1  0  1  0  0  1  1  1  1  1  1  1  0  1  1  0  0  0  1  1  1  1  1  1  1  0  1  1  1  1  1  0  0  1  1  1  0  1  0  0  1  1  0  1  0  0  1  1  1  1  1  1  0  1  1  0  1  1  0  0  1  1  0  1  0  0  1  1  1
13,16,704,-2877075154195018437,6980647191263901474,306642474871719695,0  1  0  0  1  1  1  1  1  1  1  0  1  0  1  1  0  0  1  0  1  1  1  1  0  1  0  1  0  1  0  1  0  1  0  1  1  1  0  0  1  1  1  0  1  1  1  1  1  0  0  1  0  1  1  1  0  1  1  1  0  1  0  1  1  1  1  1  0  1  1  1  1  1  1  1
13,17,702,-8912450900790245796,5118687441879047236,2392684349767229870,1  0  0  1  1  0  0  1  0  1  1  1  1  1  0  0  1  1  1  1  0  0  1  0  1  0  1  0  1  1  1  1  0  0  1  0  1  1  1  0  1  1  1  0  1  1  0  1  1  1  0  1  1  0  1  0  1  0  0  1  1  1  1  1  1  1  1  0  1  0  1  1  0  1  1  1
13,18,700,3740708336380606476,-7592722758323785083,-1081321084922429474,1  1  1  1  0  0  1  1  1  0  1  0  1  1  1  1  1  0  0  1  1  0  1  1  0  1  1  0  1  1  0  1  1  0  0  1  1  1  1  0  1  0  1  0  1  1  0  1  0  1  0  0  1  1  1  1  1  0  0  1  1  1  0  1  0  0  1  1  1  1  1  0  1  0  1  0
13,19,700,-604481494392413,8980770457337448443,-4842613301944589939,0  1  1  1  0  1  1  1  1  0  1  1  1  0  0  1  1  1  0  0  0  0  0  1  1  1  0  1  1  1  1  0  1  1  1  1  1  1  0  0  1  0  1  0  1  0  1  0  1  0  1  0  0  1  1  1  0  1  1  1  1  0  0  1  0  0  1  0  0  1  1  1  1  1  1  1
13,20,697,7353559052733230993,-6540254828250980755,8980770457337448443,1  1  1  0  1  1  1  1  1  0  1  1  1  0  0  0  0  1  0  0  0  1  1  0  1  1  0  1  1  1  1  0  1  1  1  1  1  1  0  0  1  0  0  0  1  0  1  1  1  1  1  0  0  1  0  1  0  1  1  1  1  0  0  1  1  1  1  0  1  1  0  1  1  0  1  1
13,21,695,8857257955896166090,3195597381719299096,8980770457337448443,1  1  1  1  0  1  1  1  1  0  1  0  1  0  0  0  0  1  0  0  0  1  0  1  1  1  0  1  1  1  1  0  1  0  1  1  1  1  0  0  1  1  0  0  0  1  1  1  1  1  0  0  0  1  1  0  1  1  0  1  1  0  1  1  1  0  1  0  0  1  0  1  1  0  1  1
13,22,695,-5510018357923763162,-5528652987989128873,-7962568929731658709,1  1  1  0  1  1  1  1  1  0  0  1  0  1  0  1  0  1  0  0  1  0  0  0  1  0  1  1  1  1  0  1  1  0  0  0  1  1  0  1  1  0  0  1  1  0  1  1  0  0  0  1  1  1  1  1  1  1  0  0  1  1  0  1  1  1  1  1  1  1  0  0  1  0  0  1
13,23,693,-3797294418014171351,4859053968153023642,-2523125559123291886,0  0  1  1  1  1  0  1  0  0  0  0  1  1  0  1  1  1  1  1  1  1  0  1  1  0  1  0  1  1  1  1  1  1  0  1  1  1  1  1  1  1  1  0  0  1  1  1  1  0  1  0  1  0  0  1  0  0  0  1  1  1  1  1  1  1  0  0  0  1  1  0  0  0  0  1
